season	episode_total	episode_season	ep_id	main_segment	air_date	viewers	period	ytid	youtube_link	aligned	checked	subs	ytdate	length	views	likes	comms	duration	syls	wrds
4	102	13	04_13	Stupid Watergate	May 21, 2017	1.42	precovid	FVFdsl29s_Q	https://www.youtube.com/watch?v=FVFdsl29s_Q	NA	NA	NA	2017-05-22	1446	19197341	187301	11000	00:24:06	6286	4046
4	103	14	04_14	Paris agreement	June 4, 2017	1.22	precovid	5scez5dqtAc	https://www.youtube.com/watch?v=5scez5dqtAc	NA	NA	NA	2017-06-05	1258	14087618	185697	13000	00:20:58	5373	3547
4	104	15	04_15	Brexit II	June 11, 2017	1.24	precovid	fyVz5vgqBhE	https://www.youtube.com/watch?v=fyVz5vgqBhE	NA	NA	NA	2017-06-12	1151	11299542	153470	8400	00:19:11	4942	3184
4	105	16	04_16	Coal	June 18, 2017	1.28	precovid	aw6RsUhw1Q8	https://www.youtube.com/watch?v=aw6RsUhw1Q8	NA	NA	NA	2017-06-19	1460	18793597	225713	12000	00:24:20	6112	4030
4	106	17	04_17	Vaccine	June 25, 2017	1.31	precovid	7VG_s2PCH_c	https://www.youtube.com/watch?v=7VG_s2PCH_c	NA	NA	NA	2017-06-26	1635	27251535	264045	46000	00:27:15	6803	4396
4	107	18	04_18	Sinclair Broadcast Group	July 2, 2017	1.14	precovid	GvtNyOzGogc	https://www.youtube.com/watch?v=GvtNyOzGogc	NA	NA	NA	2017-07-03	1139	13426434	147727	9700	00:18:59	4989	3184
4	108	19	04_19	Alex Jones	July 30, 2017	1.76	precovid	WyGq6cjcc3Q	https://www.youtube.com/watch?v=WyGq6cjcc3Q	NA	NA	NA	2017-07-31	1341	20915679	270149	32000	00:22:21	5595	3719
4	109	20	04_20	Border Patrol	August 6, 2017	1.75	precovid	NnW5EjwtE2U	https://www.youtube.com/watch?v=NnW5EjwtE2U	NA	NA	NA	2017-08-07	1220	12264050	116175	7500	00:20:20	5187	3339
4	110	21	04_21	North Korea	August 13, 2017	1.93	precovid	TrS0uNBuG9c	https://www.youtube.com/watch?v=TrS0uNBuG9c	NA	NA	NA	2017-08-14	1620	20871253	225847	15000	00:27:00	6837	4416
4	111	22	04_22	Nuclear waste	August 20, 2017	1.76	precovid	ZwY2E0hjGuU	https://www.youtube.com/watch?v=ZwY2E0hjGuU	NA	NA	NA	2017-08-21	1097	12156721	138424	10000	00:18:17	4617	2940
4	112	23	04_23	Joe Arpaio	September 10, 2017	0.97	precovid	1ZNZY-gd3K0	https://www.youtube.com/watch?v=1ZNZY-gd3K0	NA	NA	NA	2017-09-11	858	9005378	109446	7900	00:14:18	3606	2274
4	113	24	04_24	Corporate consolidation	September 24, 2017	1.25	precovid	00wQYmvfhn4	https://www.youtube.com/watch?v=00wQYmvfhn4	NA	NA	NA	2017-09-25	910	11102863	136501	6800	00:15:10	3676	2339
4	114	25	04_25	Forensic science	October 1, 2017	1.27	precovid	ScmJvmzDcG0	https://www.youtube.com/watch?v=ScmJvmzDcG0	NA	NA	NA	2017-10-02	1131	10383708	128801	5800	00:18:51	4704	2978
4	115	26	04_26	Confederate monuments and memorials	October 8, 2017	1.3	precovid	J5b_-TZwQ0I	https://www.youtube.com/watch?v=J5b_-TZwQ0I	NA	NA	NA	2017-10-09	1298	31526664	382016	63000	00:21:38	5506	3390
4	116	27	04_27	Equifax	October 15, 2017	1.25	precovid	mPjgRKW_Jmk	https://www.youtube.com/watch?v=mPjgRKW_Jmk	NA	NA	NA	2017-10-16	922	7586818	106471	5600	00:15:22	4103	2613
4	117	28	04_28	Floods	October 29, 2017	0.96	precovid	pf1t7cs9dkc	https://www.youtube.com/watch?v=pf1t7cs9dkc	NA	NA	NA	2017-10-30	1168	10490938	116398	5400	00:19:28	5288	3338
4	118	29	04_29	Economic development	November 5, 2017	1.01	precovid	8bl19RoR7lc	https://www.youtube.com/watch?v=8bl19RoR7lc	NA	NA	NA	2017-11-06	895	9709369	105650	6200	00:14:55	3783	2397
4	119	30	04_30	The Trump presidency	November 12, 2017	1.2	precovid	1ZAPwfrtAFY	https://www.youtube.com/watch?v=1ZAPwfrtAFY	NA	NA	NA	2017-11-13	1430	22702187	261586	22000	00:23:50	6165	4031
5	120	1	05_01	Trump vs. The world	February 18, 2018	1.2	precovid	QCjk_NPsIqU	https://www.youtube.com/watch?v=QCjk_NPsIqU	NA	aligned	NA	2018-02-19	1155	18864669	264444	27000	00:19:15	4797	3076
5	121	2	05_02	Italian election	February 25, 2018	1.11	precovid	LdhQzXHYLZ4	https://www.youtube.com/watch?v=LdhQzXHYLZ4	NA	NA	NA	2018-02-26	1272	11378242	176750	17000	00:21:12	5033	3152
5	122	3	05_03	NRA TV	March 4, 2018	0.94	precovid	LEcbagW4O-s	https://www.youtube.com/watch?v=LEcbagW4O-s	NA	NA	NA	2018-03-05	1201	14296791	204305	23000	00:20:01	4890	3256
5	123	4	05_04	Cryptocurrencies	March 11, 2018	1.08	precovid	g6iDZspbRMg	https://www.youtube.com/watch?v=g6iDZspbRMg	NA	NA	NA	2018-03-12	1521	20026066	207293	22000	00:25:21	6314	4136
5	124	5	05_05	Mike Pence	March 18, 2018	1.23	precovid	rs2RlZQVXBU	https://www.youtube.com/watch?v=rs2RlZQVXBU	NA	NA	NA	2018-03-19	1226	20643311	248438	21000	00:20:26	5204	3321
5	125	6	05_06	Immigration courts	April 1, 2018	1.26	precovid	9fB0GBwJ2QA	https://www.youtube.com/watch?v=9fB0GBwJ2QA	NA	NA	NA	2018-04-02	1072	6243853	110196	10000	00:17:52	4396	2834
